video,site,track_id,label,kind,n_frames,span_s,mean_conf,topk_conf,mean_box_px,first_frame,last_frame,gt_overlap_frames
AquaCultureRd_TON_12.03.25_LS,TON,2111,0,false,2,0.03,0.0347,0.0347,786.9,3744,3745,0
AquaCultureRd_TON_12.03.25_LS,TON,2112,0,false,16,0.3,0.0472,0.0964,373.0,3755,3772,0
AquaCultureRd_TON_12.03.25_LS,TON,2113,0,false,18,0.43,0.0286,0.037,257.6,3771,3796,0
AquaCultureRd_TON_12.03.25_LS,TON,2114,0,false,1,0.02,0.0221,0.0221,214.3,3779,3779,0
AquaCultureRd_TON_12.03.25_LS,TON,2115,0,false,3,0.4,0.0269,0.0269,415.7,3780,3803,0
AquaCultureRd_TON_12.03.25_LS,TON,2116,0,false,1,0.02,0.0516,0.0516,327.0,3783,3783,0
AquaCultureRd_TON_12.03.25_LS,TON,2117,0,false,5,0.18,0.0227,0.0227,190.8,3785,3795,0
AquaCultureRd_TON_12.03.25_LS,TON,2118,0,false,13,0.08,0.0293,0.034,212.9,3787,3791,0
AquaCultureRd_TON_12.03.25_LS,TON,2119,0,false,1,0.02,0.0203,0.0203,1273.8,3800,3800,0
AquaCultureRd_TON_12.03.25_LS,TON,2120,0,false,12,0.17,0.0526,0.0742,707.5,3830,3839,0
AquaCultureRd_TON_12.03.25_LS,TON,2121,0,false,5,0.53,0.035,0.035,1115.4,3852,3883,0
AquaCultureRd_TON_12.03.25_LS,TON,2122,0,false,1,0.02,0.0274,0.0274,418.7,3861,3861,0
AquaCultureRd_TON_12.03.25_LS,TON,2123,0,false,1,0.02,0.0267,0.0267,718.4,3863,3863,0
AquaCultureRd_TON_12.03.25_LS,TON,2124,0,false,8,0.02,0.0346,0.0405,268.7,3916,3916,0
AquaCultureRd_TON_12.03.25_LS,TON,2125,0,false,1,0.02,0.0418,0.0418,982.2,3957,3957,0
AquaCultureRd_TON_12.03.25_LS,TON,2126,0,false,9,1.17,0.0501,0.0667,501.4,4067,4136,0
AquaCultureRd_TON_12.03.25_LS,TON,2127,0,false,3,0.23,0.0287,0.0287,386.5,4104,4117,0
AquaCultureRd_TON_12.03.25_LS,TON,2128,0,false,4,0.52,0.038,0.038,415.1,4105,4135,0
AquaCultureRd_TON_12.03.25_LS,TON,2129,0,false,1,0.02,0.0203,0.0203,498.9,4116,4116,0
AquaCultureRd_TON_12.03.25_LS,TON,2130,0,false,9,0.9,0.0437,0.0604,530.9,4129,4182,0
AquaCultureRd_TON_12.03.25_LS,TON,2131,0,false,2,0.03,0.0302,0.0302,534.5,4130,4131,0
AquaCultureRd_TON_12.03.25_LS,TON,2132,0,false,3,0.12,0.0331,0.0331,2052.6,4193,4199,0
AquaCultureRd_TON_12.03.25_LS,TON,2133,0,false,1,0.02,0.0695,0.0695,793.5,4213,4213,0
AquaCultureRd_TON_12.03.25_LS,TON,2134,0,false,1,0.02,0.0214,0.0214,486.1,4215,4215,0
AquaCultureRd_TON_12.03.25_LS,TON,2135,0,false,1,0.02,0.0594,0.0594,1307.0,4299,4299,0
AquaCultureRd_TON_12.03.25_LS,TON,2136,0,false,1,0.02,0.0687,0.0687,519.5,4320,4320,0
AquaCultureRd_TON_12.03.25_LS,TON,2137,0,false,1,0.02,0.3476,0.3476,1424.2,4351,4351,0
AquaCultureRd_TON_12.03.25_LS,TON,2138,0,false,1,0.02,0.0679,0.0679,836.7,4366,4366,0
AquaCultureRd_TON_12.03.25_LS,TON,2139,0,false,2,0.03,0.1692,0.1692,2789.8,4385,4386,0
AquaCultureRd_TON_12.03.25_LS,TON,2140,0,false,1,0.02,0.0359,0.0359,1027.4,4456,4456,0
AquaCultureRd_TON_12.03.25_LS,TON,2141,0,false,1,0.02,0.0383,0.0383,905.7,4462,4462,0
AquaCultureRd_TON_12.03.25_LS,TON,2142,0,false,1,0.02,0.068,0.068,2087.3,4474,4474,0
AquaCultureRd_TON_12.03.25_LS,TON,2143,0,false,1,0.02,0.0347,0.0347,1353.4,4509,4509,0
AquaCultureRd_TON_12.03.25_LS,TON,2144,0,false,1,0.02,0.2102,0.2102,1011.7,4523,4523,0
AquaCultureRd_TON_12.03.25_LS,TON,2145,0,false,4,0.07,0.0917,0.0917,949.1,4543,4546,0
AquaCultureRd_TON_12.03.25_LS,TON,2146,0,false,1,0.02,0.0677,0.0677,626.8,4553,4553,0
AquaCultureRd_TON_12.03.25_LS,TON,2147,0,false,1,0.02,0.024,0.024,776.6,4574,4574,0
AquaCultureRd_TON_12.03.25_LS,TON,2148,0,false,2,0.08,0.044,0.044,2597.5,4577,4581,0
AquaCultureRd_TON_12.03.25_LS,TON,2149,0,false,1,0.02,0.0624,0.0624,664.0,4648,4648,0
AquaCultureRd_TON_12.03.25_LS,TON,2150,0,false,13,0.83,0.0334,0.049,853.0,4654,4703,0
AquaCultureRd_TON_12.03.25_LS,TON,2151,0,false,2,0.3,0.0356,0.0356,1225.6,4666,4683,0
AquaCultureRd_TON_12.03.25_LS,TON,2152,0,false,6,0.45,0.0286,0.0302,977.9,4713,4739,0
AquaCultureRd_TON_12.03.25_LS,TON,2153,0,false,4,0.15,0.0302,0.0302,1151.5,4726,4734,0
AquaCultureRd_TON_12.03.25_LS,TON,2154,0,false,1,0.02,0.0795,0.0795,694.8,4728,4728,0
AquaCultureRd_TON_12.03.25_LS,TON,2155,0,false,1,0.02,0.0248,0.0248,918.8,4734,4734,0
AquaCultureRd_TON_12.03.25_LS,TON,2156,0,false,4,0.07,0.0484,0.0484,747.6,4765,4768,0
AquaCultureRd_TON_12.03.25_LS,TON,2157,0,false,2,0.03,0.0529,0.0529,691.7,4773,4774,0
AquaCultureRd_TON_12.03.25_LS,TON,2158,0,false,1,0.02,0.0217,0.0217,749.5,4775,4775,0
AquaCultureRd_TON_12.03.25_LS,TON,2159,0,false,1,0.02,0.027,0.027,649.9,4803,4803,0
AquaCultureRd_TON_12.03.25_LS,TON,2160,0,false,1,0.02,0.032,0.032,1117.4,4816,4816,0
AquaCultureRd_TON_12.03.25_LS,TON,2161,0,false,1,0.02,0.0332,0.0332,746.9,4821,4821,0
AquaCultureRd_TON_12.03.25_LS,TON,2162,0,false,2,0.42,0.0389,0.0389,993.3,4835,4859,0
AquaCultureRd_TON_12.03.25_LS,TON,2163,0,false,3,0.58,0.0702,0.0702,1397.4,4841,4875,0
AquaCultureRd_TON_12.03.25_LS,TON,2164,0,false,1,0.02,0.0217,0.0217,827.2,4860,4860,0
AquaCultureRd_TON_12.03.25_LS,TON,2165,0,false,2,0.02,0.0492,0.0492,999.9,4906,4906,0
AquaCultureRd_TON_12.03.25_LS,TON,2166,0,false,2,0.05,0.0367,0.0367,1006.2,4919,4921,0
AquaCultureRd_TON_12.03.25_LS,TON,2167,0,false,2,0.03,0.0296,0.0296,1040.3,4921,4922,0
AquaCultureRd_TON_12.03.25_LS,TON,2168,0,false,12,0.38,0.0277,0.0337,950.3,4953,4975,0
AquaCultureRd_TON_12.03.25_LS,TON,2169,0,false,1,0.02,0.0223,0.0223,843.5,4955,4955,0
AquaCultureRd_TON_12.03.25_LS,TON,2170,0,false,1,0.02,0.0228,0.0228,813.4,4958,4958,0
AquaCultureRd_TON_12.03.25_LS,TON,2171,0,false,3,0.05,0.0761,0.0761,941.2,4971,4973,0
AquaCultureRd_TON_12.03.25_LS,TON,2172,0,false,2,0.05,0.1817,0.1817,3104.5,4997,4999,0
AquaCultureRd_TON_12.03.25_LS,TON,2173,0,false,1,0.02,0.0306,0.0306,910.0,5052,5052,0
AquaCultureRd_TON_12.03.25_LS,TON,2174,0,false,1,0.02,0.0518,0.0518,1243.2,5054,5054,0
AquaCultureRd_TON_12.03.25_LS,TON,2175,0,false,1,0.02,0.0936,0.0936,465.2,5065,5065,0
AquaCultureRd_TON_12.03.25_LS,TON,2176,0,false,1,0.02,0.1454,0.1454,996.2,5097,5097,0
AquaCultureRd_TON_12.03.25_LS,TON,2177,0,false,2,0.45,0.0886,0.0886,670.0,5126,5152,0
AquaCultureRd_TON_12.03.25_LS,TON,2178,0,false,1,0.02,0.0402,0.0402,1087.8,5136,5136,0
AquaCultureRd_TON_12.03.25_LS,TON,2179,0,false,1,0.02,0.0212,0.0212,761.4,5146,5146,0
AquaCultureRd_TON_12.03.25_LS,TON,2180,0,false,5,0.2,0.0374,0.0374,828.6,5236,5247,0
AquaCultureRd_TON_12.03.25_LS,TON,2181,0,false,1,0.02,0.0254,0.0254,512.0,5259,5259,0
AquaCultureRd_TON_12.03.25_LS,TON,2182,0,false,9,0.55,0.0313,0.0397,641.5,5299,5331,0
AquaCultureRd_TON_12.03.25_LS,TON,2183,0,false,11,0.32,0.0696,0.1174,604.7,5302,5320,0
AquaCultureRd_TON_12.03.25_LS,TON,2184,0,false,3,0.05,0.0374,0.0374,271.2,5311,5313,0
AquaCultureRd_TON_12.03.25_LS,TON,2185,0,false,1,0.02,0.0263,0.0263,440.8,5356,5356,0
AquaCultureRd_TON_12.03.25_LS,TON,2186,0,false,1,0.02,0.0277,0.0277,546.5,5364,5364,0
AquaCultureRd_TON_12.03.25_LS,TON,2187,0,false,4,0.88,0.0246,0.0246,253.4,5376,5428,0
AquaCultureRd_TON_12.03.25_LS,TON,2188,0,false,5,0.05,0.1495,0.1495,533.7,5391,5393,0
AquaCultureRd_TON_12.03.25_LS,TON,2189,0,false,6,0.63,0.0352,0.0381,1384.5,5407,5444,0
AquaCultureRd_TON_12.03.25_LS,TON,2190,0,false,2,0.03,0.0282,0.0282,152.6,5580,5581,0
AquaCultureRd_TON_12.03.25_LS,TON,2191,0,false,3,0.1,0.0231,0.0231,500.5,5580,5585,0
AquaCultureRd_TON_12.03.25_LS,TON,2192,0,false,2,0.03,0.0312,0.0312,970.8,5587,5588,0
AquaCultureRd_TON_12.03.25_LS,TON,2193,0,false,8,0.05,0.0421,0.0522,506.5,5648,5650,0
AquaCultureRd_TON_12.03.25_LS,TON,2194,0,false,1,0.02,0.0318,0.0318,359.3,5651,5651,0
AquaCultureRd_TON_12.03.25_LS,TON,2195,0,false,4,0.13,0.0359,0.0359,593.5,5663,5670,0
AquaCultureRd_TON_12.03.25_LS,TON,2196,0,false,5,0.02,0.0359,0.0359,605.3,5667,5667,0
AquaCultureRd_TON_12.03.25_LS,TON,2197,0,false,7,0.08,0.0659,0.0815,429.9,5671,5675,0
AquaCultureRd_TON_12.03.25_LS,TON,2198,0,false,3,0.08,0.031,0.031,729.4,5765,5769,0
AquaCultureRd_TON_12.03.25_LS,TON,2199,0,false,19,0.13,0.0602,0.1316,580.9,5768,5775,0
AquaCultureRd_TON_12.03.25_LS,TON,2200,0,false,2,0.03,0.039,0.039,444.4,5771,5772,0
AquaCultureRd_TON_12.03.25_LS,TON,2201,0,false,5,0.13,0.1615,0.1615,731.1,5873,5880,0
AquaCultureRd_TON_12.03.25_LS,TON,2202,0,false,20,1.3,0.0442,0.088,1329.2,5875,5952,0
AquaCultureRd_TON_12.03.25_LS,TON,2203,0,false,1,0.02,0.0269,0.0269,439.6,5880,5880,0
AquaCultureRd_TON_12.03.25_LS,TON,2204,0,false,3,0.05,0.0212,0.0212,716.9,5882,5884,0
AquaCultureRd_TON_12.03.25_LS,TON,2205,0,false,2,0.03,0.0237,0.0237,360.4,5912,5913,0
AquaCultureRd_TON_12.03.25_LS,TON,2206,0,false,7,0.03,0.0355,0.0405,221.7,5917,5918,0
AquaCultureRd_TON_12.03.25_LS,TON,2207,0,false,8,1.23,0.0413,0.0528,593.3,5931,6004,0
AquaCultureRd_TON_12.03.25_LS,TON,2208,0,false,1,0.02,0.0305,0.0305,1053.3,5948,5948,0
AquaCultureRd_TON_12.03.25_LS,TON,2209,0,false,2,0.35,0.0285,0.0285,1321.5,5956,5976,0
AquaCultureRd_TON_12.03.25_LS,TON,2210,0,false,1,0.02,0.0484,0.0484,590.0,5962,5962,0
AquaCultureRd_TON_12.03.25_LS,TON,2211,0,false,1,0.02,0.0214,0.0214,233.8,5965,5965,0
AquaCultureRd_TON_12.03.25_LS,TON,2212,0,false,1,0.02,0.0263,0.0263,393.8,5993,5993,0
AquaCultureRd_TON_12.03.25_LS,TON,2213,0,false,4,0.62,0.0268,0.0268,826.0,6017,6053,0
AquaCultureRd_TON_12.03.25_LS,TON,2214,0,false,65,2.59,0.1245,0.4913,833.9,6032,6186,0
AquaCultureRd_TON_12.03.25_LS,TON,2215,0,false,5,0.45,0.0382,0.0382,606.6,6067,6093,0
AquaCultureRd_TON_12.03.25_LS,TON,2216,0,false,3,0.03,0.0334,0.0334,444.7,6080,6081,0
AquaCultureRd_TON_12.03.25_LS,TON,2217,0,false,2,0.07,0.1037,0.1037,1323.4,6082,6085,0
AquaCultureRd_TON_12.03.25_LS,TON,2218,0,false,1,0.02,0.0202,0.0202,193.6,6124,6124,0
AquaCultureRd_TON_12.03.25_LS,TON,2219,0,false,11,0.63,0.0817,0.1445,923.9,6149,6186,0
AquaCultureRd_TON_12.03.25_LS,TON,2220,0,false,4,0.07,0.0527,0.0527,529.3,6167,6170,0
AquaCultureRd_TON_12.03.25_LS,TON,2221,0,false,1,0.02,0.0315,0.0315,727.1,6225,6225,0
AquaCultureRd_TON_12.03.25_LS,TON,2222,0,false,1,0.02,0.0229,0.0229,186.2,6237,6237,0
AquaCultureRd_TON_12.03.25_LS,TON,2223,0,false,2,0.03,0.0946,0.0946,768.8,6255,6256,0
AquaCultureRd_TON_12.03.25_LS,TON,2224,0,false,1,0.02,0.0927,0.0927,2245.6,6349,6349,0
AquaCultureRd_TON_12.03.25_LS,TON,2225,0,false,3,0.7,0.0345,0.0345,1317.9,6355,6396,0
